NUMBER_OF_SALES;TOTAL_REVENUE;NUMBER_OF_UNIT_SOLD;PURCHASE_DATE;MONTH_ID;DAY_OF_WEEK;TIME_BUCKET;SPENDER_BUCKET;STORE_LOCATION;PRODUCT_CATEGORY;PRODUCT_DETAIL;PRODUCT_TYPE
3;18;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Coffee;Our Old Time Diner Blend Lg;Drip coffee
2;15;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Bakery;Jumbo Savory Scone;Scone
7;45,5;14;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Bakery;Cranberry Scone;Scone
2;15;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Coffee;Our Old Time Diner Blend Rg;Drip coffee
2;18;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Coffee;Espresso shot;Barista Espresso
1;6,5;2;2023/05/05;202305;Fri;MORNING;LOW;Hell's Kitchen;Bakery;Cranberry Scone;Scone
6;59,5;14;2023/05/05;202305;Fri;MORNING;HIGH;Lower Manhattan;Coffee;Latte Rg;Barista Espresso
6;35;14;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
3;42,5;10;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Coffee;Latte Rg;Barista Espresso
6;81;18;2023/05/05;202305;Fri;MORNING;HIGH;Hell's Kitchen;Drinking Chocolate;Dark chocolate Lg;Hot chocolate
2;15;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Bakery;Almond Croissant;Pastry
4;25;10;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
6;75;20;2023/05/05;202305;Fri;MORNING;HIGH;Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate
5;66,5;14;2023/05/05;202305;Fri;MORNING;HIGH;Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
2;20;8;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Tea;Morning Sunrise Chai Rg;Brewed Chai tea
6;60;20;2023/05/05;202305;Fri;MORNING;HIGH;Hell's Kitchen;Tea;English Breakfast Lg;Brewed Black tea
2;18;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Coffee;Brazilian Rg;Organic brewed coffee
2;12;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Tea;Serenity Green Tea Lg;Brewed Green tea
2;20;8;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Tea;Traditional Blend Chai Rg;Brewed Chai tea
2;16;8;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Coffee;Our Old Time Diner Blend Sm;Drip coffee
2;24;8;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Tea;Serenity Green Tea Lg;Brewed Green tea
3;18;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Coffee;Our Old Time Diner Blend Lg;Drip coffee
3;21;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Bakery;Ginger Biscotti;Biscotti
3;15;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Coffee;Our Old Time Diner Blend Rg;Drip coffee
4;36;12;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Tea;Lemon Grass Lg;Brewed herbal tea
6;56;16;2023/05/05;202305;Fri;MORNING;HIGH;Lower Manhattan;Coffee;Brazilian Lg;Organic brewed coffee
3;30;8;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Coffee;Latte;Barista Espresso
4;42;12;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Coffee;Brazilian Lg;Organic brewed coffee
3;36;12;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Coffee;Brazilian Rg;Organic brewed coffee
2;14,7;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
1;19;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
3;20,4;8;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
1;7;2;2023/05/05;202305;Fri;MORNING;LOW;Lower Manhattan;Coffee;Ethiopia Lg;Gourmet brewed coffee
5;30,8;14;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Coffee;Brazilian Sm;Organic brewed coffee
5;32,5;10;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Bakery;Ginger Scone;Scone
3;22,5;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Bakery;Chocolate Croissant;Pastry
3;30;10;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Tea;Traditional Blend Chai Lg;Brewed Chai tea
3;28;8;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Drinking Chocolate;Dark chocolate Rg;Hot chocolate
5;52,5;14;2023/05/05;202305;Fri;MORNING;HIGH;Hell's Kitchen;Coffee;Latte;Barista Espresso
2;12,4;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea
2;13;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Bakery;Ginger Scone;Scone
3;24;8;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Tea;Peppermint Lg;Brewed herbal tea
2;15;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Coffee;Cappuccino;Barista Espresso
3;21;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Bakery;Chocolate Chip Biscotti;Biscotti
2;18,6;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Coffee;Jamaican Coffee River Rg;Premium brewed coffee
2;14;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Bakery;Ginger Biscotti;Biscotti
3;22;10;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Coffee;Brazilian Sm;Organic brewed coffee
1;7;2;2023/05/05;202305;Fri;MORNING;LOW;Hell's Kitchen;Coffee;Ethiopia Lg;Gourmet brewed coffee
3;36;8;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Drinking Chocolate;Dark chocolate Lg;Hot chocolate
2;24;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Tea;Morning Sunrise Chai Lg;Brewed Chai tea
5;67,5;18;2023/05/05;202305;Fri;MORNING;HIGH;Hell's Kitchen;Coffee;Cappuccino;Barista Espresso
2;21;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Drinking Chocolate;Dark chocolate Rg;Hot chocolate
2;15;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Tea;English Breakfast Rg;Brewed Black tea
3;24,8;8;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea
3;15,3;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
2;18;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Coffee;Ethiopia Rg;Gourmet brewed coffee
1;4,4;2;2023/05/05;202305;Fri;MORNING;LOW;Hell's Kitchen;Coffee;Ethiopia Sm;Gourmet brewed coffee
2;12;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Bakery;Oatmeal Scone;Scone
2;14;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Bakery;Croissant;Pastry
1;8;4;2023/05/05;202305;Fri;MORNING;LOW;Lower Manhattan;Coffee;Our Old Time Diner Blend Sm;Drip coffee
2;22,5;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
1;5;2;2023/05/05;202305;Fri;MORNING;LOW;Lower Manhattan;Tea;Peppermint Rg;Brewed herbal tea
1;5;2;2023/05/05;202305;Fri;MORNING;LOW;Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea
3;20;8;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Tea;Serenity Green Tea Rg;Brewed Green tea
1;6;2;2023/05/05;202305;Fri;MORNING;LOW;Lower Manhattan;Coffee;Ethiopia Rg;Gourmet brewed coffee
2;18;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Lower Manhattan;Bakery;Scottish Cream Scone ;Scone
1;5;2;2023/05/05;202305;Fri;MORNING;LOW;Hell's Kitchen;Tea;Serenity Green Tea Rg;Brewed Green tea
1;5,1;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
3;14,7;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Astoria;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
2;14,7;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Hell's Kitchen;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
1;7,5;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
1;8,5;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Coffee;Latte Rg;Barista Espresso
1;5;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Tea;English Breakfast Rg;Brewed Black tea
2;15;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
1;7,5;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Coffee;Latte;Barista Espresso
3;13,2;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Astoria;Coffee;Ethiopia Sm;Gourmet brewed coffee
1;6;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Tea;English Breakfast Lg;Brewed Black tea
2;15;6;2023/05/05;202305;Fri;MORNING;MEDUIM;Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea
1;6;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Tea;Earl Grey Lg;Brewed Black tea
1;5;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Tea;Earl Grey Rg;Brewed Black tea
1;6,5;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Bakery;Ginger Scone;Scone
1;6;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Tea;Peppermint Lg;Brewed herbal tea
1;6,5;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Bakery;Cranberry Scone;Scone
2;24,8;8;2023/05/05;202305;Fri;MORNING;MEDUIM;Astoria;Coffee;Jamaican Coffee River Rg;Premium brewed coffee
2;15;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Astoria;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate
1;10;4;2023/05/05;202305;Fri;MORNING;LOW;Hell's Kitchen;Tea;Peppermint Rg;Brewed herbal tea
1;7;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Drinking Chocolate;Dark chocolate Rg;Hot chocolate
1;7,5;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Bakery;Almond Croissant;Pastry
2;12;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Astoria;Coffee;Our Old Time Diner Blend Lg;Drip coffee
1;12;4;2023/05/05;202305;Fri;MORNING;MEDUIM;Astoria;Coffee;Ethiopia Rg;Gourmet brewed coffee
1;7;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Bakery;Ginger Biscotti;Biscotti
1;7;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Coffee;Ethiopia Lg;Gourmet brewed coffee
1;4;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee
1;6;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Tea;Lemon Grass Lg;Brewed herbal tea
1;5;2;2023/05/05;202305;Fri;MORNING;LOW;Astoria;Coffee;Our Old Time Diner Blend Rg;Drip coffee
8;78;26;2023/05/05;202305;Fri;AFTERNOON;HIGH;Astoria;Tea;Peppermint Lg;Brewed herbal tea
2;15;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Tea;Peppermint Rg;Brewed herbal tea
4;66,5;14;2023/05/05;202305;Fri;AFTERNOON;HIGH;Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
7;82,5;22;2023/05/05;202305;Fri;AFTERNOON;HIGH;Astoria;Coffee;Latte;Barista Espresso
5;39,2;16;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
5;35;14;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Tea;Serenity Green Tea Rg;Brewed Green tea
8;48;16;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Bakery;Oatmeal Scone;Scone
4;30;12;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Tea;English Breakfast Rg;Brewed Black tea
2;32;8;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Tea;Morning Sunrise Chai Lg;Brewed Chai tea
2;18,6;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Jamaican Coffee River Rg;Premium brewed coffee
4;59,5;14;2023/05/05;202305;Fri;AFTERNOON;HIGH;Astoria;Coffee;Cappuccino Lg;Barista Espresso
4;30;12;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea
4;24;12;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Coffee;Our Old Time Diner Blend Sm;Drip coffee
3;25;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Tea;English Breakfast Rg;Brewed Black tea
6;42;12;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Bakery;Croissant;Pastry
4;24,5;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
5;52,5;14;2023/05/05;202305;Fri;AFTERNOON;HIGH;Astoria;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
7;60;24;2023/05/05;202305;Fri;AFTERNOON;HIGH;Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
5;60;16;2023/05/05;202305;Fri;AFTERNOON;HIGH;Astoria;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate
4;35,7;14;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
3;47,5;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
3;36;12;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Ouro Brasileiro shot;Barista Espresso
2;24;8;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Tea;Lemon Grass Lg;Brewed herbal tea
4;63;14;2023/05/05;202305;Fri;AFTERNOON;HIGH;Astoria;Drinking Chocolate;Dark chocolate Lg;Hot chocolate
4;24;12;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee
2;15,3;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
1;14;4;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Brazilian Lg;Organic brewed coffee
3;24,8;8;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea
1;18;4;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Drinking Chocolate;Dark chocolate Lg;Hot chocolate
4;30;12;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
2;24;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;Morning Sunrise Chai Lg;Brewed Chai tea
3;25;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;Peppermint Rg;Brewed herbal tea
2;12;4;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Ethiopia Rg;Gourmet brewed coffee
2;17;4;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Cappuccino Lg;Barista Espresso
4;28;8;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Bakery;Chocolate Chip Biscotti;Biscotti
6;66;22;2023/05/05;202305;Fri;AFTERNOON;HIGH;Hell's Kitchen;Coffee;Ethiopia Rg;Gourmet brewed coffee
1;8;4;2023/05/05;202305;Fri;AFTERNOON;LOW;Hell's Kitchen;Coffee;Our Old Time Diner Blend Sm;Drip coffee
2;24;8;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;Lemon Grass Lg;Brewed herbal tea
7;78;26;2023/05/05;202305;Fri;AFTERNOON;HIGH;Astoria;Tea;Earl Grey Lg;Brewed Black tea
3;22;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Coffee;Ethiopia Sm;Gourmet brewed coffee
2;15;4;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Cappuccino;Barista Espresso
3;22;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Brazilian Sm;Organic brewed coffee
3;35;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Drinking Chocolate;Dark chocolate Rg;Hot chocolate
4;31;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea
4;36;12;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Tea;Serenity Green Tea Lg;Brewed Green tea
9;72;24;2023/05/05;202305;Fri;AFTERNOON;HIGH;Astoria;Tea;English Breakfast Lg;Brewed Black tea
3;27;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Drinking Chocolate;Dark chocolate Lg;Hot chocolate
5;37,5;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Bakery;Jumbo Savory Scone;Scone
4;25;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Tea;Morning Sunrise Chai Rg;Brewed Chai tea
4;42;14;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Espresso shot;Barista Espresso
6;45;18;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Tea;Earl Grey Rg;Brewed Black tea
6;50;20;2023/05/05;202305;Fri;AFTERNOON;HIGH;Astoria;Coffee;Our Old Time Diner Blend Rg;Drip coffee
2;12;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee
4;30;12;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Our Old Time Diner Blend Rg;Drip coffee
3;25;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Tea;Earl Grey Rg;Brewed Black tea
3;24;8;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Coffee;Espresso shot;Barista Espresso
2;21;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Drinking Chocolate;Dark chocolate Rg;Hot chocolate
2;24;8;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Tea;Peppermint Lg;Brewed herbal tea
2;18;4;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Bakery;Scottish Cream Scone ;Scone
2;15;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Tea;Traditional Blend Chai Rg;Brewed Chai tea
2;15;4;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate
3;19,5;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Bakery;Hazelnut Biscotti;Biscotti
5;35,2;16;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Coffee;Brazilian Sm;Organic brewed coffee
3;24;8;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Coffee;Brazilian Rg;Organic brewed coffee
2;18;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Ouro Brasileiro shot;Barista Espresso
2;12;4;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;Peppermint Lg;Brewed herbal tea
3;35;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Coffee;Brazilian Lg;Organic brewed coffee
1;9,8;4;2023/05/05;202305;Fri;AFTERNOON;LOW;Lower Manhattan;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
3;37,5;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
3;24;8;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Coffee;Ethiopia Rg;Gourmet brewed coffee
3;15;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;English Breakfast Rg;Brewed Black tea
3;48;12;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Tea;Morning Sunrise Chai Lg;Brewed Chai tea
3;20;8;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;Morning Sunrise Chai Rg;Brewed Chai tea
4;28;8;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Bakery;Chocolate Chip Biscotti;Biscotti
2;12;4;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;English Breakfast Lg;Brewed Black tea
1;6;2;2023/05/05;202305;Fri;AFTERNOON;LOW;Hell's Kitchen;Tea;Traditional Blend Chai Lg;Brewed Chai tea
5;45;18;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;Serenity Green Tea Rg;Brewed Green tea
5;66,5;14;2023/05/05;202305;Fri;AFTERNOON;HIGH;Astoria;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
1;7;2;2023/05/05;202305;Fri;AFTERNOON;LOW;Hell's Kitchen;Bakery;Croissant;Pastry
2;18;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Tea;Traditional Blend Chai Lg;Brewed Chai tea
6;54;18;2023/05/05;202305;Fri;AFTERNOON;HIGH;Hell's Kitchen;Tea;Earl Grey Lg;Brewed Black tea
1;6;2;2023/05/05;202305;Fri;AFTERNOON;LOW;Lower Manhattan;Coffee;Espresso shot;Barista Espresso
4;30;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Tea;Traditional Blend Chai Lg;Brewed Chai tea
2;21;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Drinking Chocolate;Dark chocolate Rg;Hot chocolate
5;49;14;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Coffee;Ethiopia Lg;Gourmet brewed coffee
3;18;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee
1;4,4;2;2023/05/05;202305;Fri;AFTERNOON;LOW;Lower Manhattan;Coffee;Ethiopia Sm;Gourmet brewed coffee
1;6;2;2023/05/05;202305;Fri;AFTERNOON;LOW;Astoria;Coffee;Our Old Time Diner Blend Lg;Drip coffee
1;7,5;2;2023/05/05;202305;Fri;AFTERNOON;LOW;Hell's Kitchen;Coffee;Cappuccino;Barista Espresso
1;7,5;2;2023/05/05;202305;Fri;AFTERNOON;LOW;Hell's Kitchen;Bakery;Chocolate Croissant;Pastry
4;51;12;2023/05/05;202305;Fri;AFTERNOON;HIGH;Hell's Kitchen;Coffee;Latte Rg;Barista Espresso
3;31;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Jamaican Coffee River Rg;Premium brewed coffee
4;30;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;Serenity Green Tea Lg;Brewed Green tea
2;12;4;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Bakery;Oatmeal Scone;Scone
4;26;8;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Bakery;Cranberry Scone;Scone
4;42;14;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Tea;Serenity Green Tea Lg;Brewed Green tea
2;22,5;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Latte;Barista Espresso
2;22,5;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
3;26,4;12;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Brazilian Sm;Organic brewed coffee
1;6,5;2;2023/05/05;202305;Fri;AFTERNOON;LOW;Astoria;Bakery;Cranberry Scone;Scone
1;10;4;2023/05/05;202305;Fri;AFTERNOON;LOW;Astoria;Tea;Peppermint Rg;Brewed herbal tea
1;10;4;2023/05/05;202305;Fri;AFTERNOON;LOW;Hell's Kitchen;Coffee;Our Old Time Diner Blend Rg;Drip coffee
2;13;4;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Astoria;Bakery;Ginger Scone;Scone
3;35;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Ethiopia Lg;Gourmet brewed coffee
3;25;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Tea;Morning Sunrise Chai Rg;Brewed Chai tea
3;42,5;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Latte Rg;Barista Espresso
3;21;6;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Bakery;Croissant;Pastry
1;10;4;2023/05/05;202305;Fri;AFTERNOON;LOW;Lower Manhattan;Tea;Serenity Green Tea Rg;Brewed Green tea
3;30;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Tea;English Breakfast Lg;Brewed Black tea
2;13;4;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Bakery;Ginger Scone;Scone
3;35;10;2023/05/05;202305;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Ethiopia Lg;Gourmet brewed coffee
1;4;2;2023/05/05;202305;Fri;AFTERNOON;LOW;Astoria;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee
